"floors","rooms","width","length","size","area_name","region_name","price","living_size","toilets","ward_name","direction","directionNumber","balconydirection","balconydirectionNumber"
"","2","","","71","Thành phố Thủ Đức","Tp Hồ Chí Minh","1590000000","0","2","Phường Hiệp Bình Chánh (Quận Thủ Đức cũ)","","0","","0"
"","2","","","69","Quận Tân Phú","Tp Hồ Chí Minh","2500000000","0","2","Phường Tân Sơn Nhì","","0","","0"
"","1","","","30","Quận 7","Tp Hồ Chí Minh","900000000","0","1","Phường Tân Hưng","","0","","0"
"","3","","","81","Thành phố Thủ Đức","Tp Hồ Chí Minh","3100000000","0","2","Phường Long Thạnh Mỹ (Quận 9 cũ)","","0","","0"
"","2","","","57","Quận Hoàng Mai","Hà Nội","1690000000","0","2","Phường Hoàng Liệt","","0","","0"
"","1","","","50","Quận Tân Bình","Tp Hồ Chí Minh","1900000000","0","1","Phường 4","","0","","0"
"","2","","","68","Quận Bình Thạnh","Tp Hồ Chí Minh","5350000000","0","2","Phường 22","","8","","5"
"","2","","","72","Thành phố Thủ Đức","Tp Hồ Chí Minh","4950000000","0","2","Phường Thạnh Mỹ Lợi (Quận 2 cũ)","","0","","0"
"","3","","","108","Quận Bình Thạnh","Tp Hồ Chí Minh","10800000000","0","2","Phường 22","","6","","7"
"","2","","","75","Quận Gò Vấp","Tp Hồ Chí Minh","1610000000","0","2","Phường 10","","0","","0"
